afo-soul-engine  | 2025-12-26 04:52:11,832 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1641.23ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:52:17,390 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:52:19,007 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1650.75ms (threshold: 1000ms)
afo-soul-engine  | INFO:     127.0.0.1:36738 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:31094 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:52:25,671 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:52:27,288 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1645.42ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:27084 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:52:33,956 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:52:35,573 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1646.88ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:17071 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:52:42,228 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
